Fiscal Year Released,Recidivism Reporting Year,Race - Ethnicity,Age At Release ,Convicting Offense Classification,Convicting Offense Type,Main Supervising District,Release type: Paroled to Detainer united,Part of Target Population,Recidivism - Return to Prison numeric
2011,2014,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Public Order,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Public Order,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,Black - Non-Hispanic,25-34,D Felony,Drug,1JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Other,7JD,Special Sentence,Yes,0
2011,2014,White - Non-Hispanic,55 and Older,D Felony,Property,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,45-54,Felony - Enhancement to Original Penalty,Other,2JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,55 and Older,D Felony,Violent,4JD,Special Sentence,Yes,0
2011,2014,White - Non-Hispanic,35-44,C Felony,Drug,4JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,35-44,C Felony,Drug,4JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,35-44,C Felony,Drug,4JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,35-44,C Felony,Drug,4JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,35-44,C Felony,Drug,4JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,45-54,D Felony,Violent,8JD,Special Sentence,Yes,0
2011,2014,Black - Non-Hispanic,25-34,D Felony,Public Order,6JD,Parole,Yes,0
2011,2014,Black - Non-Hispanic,25-34,D Felony,Public Order,6JD,Parole,Yes,0
2011,2014,Black - Non-Hispanic,45-54,Aggravated Misdemeanor,Property,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,Black - Non-Hispanic,25-34,C Felony,Drug,7JD,Parole,Yes,0
2011,2014,Black - Non-Hispanic,45-54,D Felony,Property,Interstate Compact,Parole,No,0
2011,2014,Black - Non-Hispanic,25-34,D Felony,Drug,1JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,35-44,C Felony,Drug,3JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,35-44,C Felony,Drug,3JD,Parole,Yes,0
2011,2014,American Indian or Alaska Native - Hispanic,Under 25,D Felony,Property,5JD,Parole,Yes,0
2011,2014,American Indian or Alaska Native - Non-Hispanic,25-34,D Felony,Drug,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,25-34,D Felony,Property,3JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,25-34,D Felony,Property,3JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,Under 25,C Felony,Property,8JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,Under 25,C Felony,Property,8JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,Under 25,C Felony,Property,8JD,Parole,Yes,0
2011,2014,Black - Non-Hispanic,Under 25,C Felony,Property,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,Black - Non-Hispanic,Under 25,C Felony,Property,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,Black - Non-Hispanic,Under 25,C Felony,Property,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,25-34,C Felony,Property,5JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,25-34,C Felony,Property,5JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,25-34,C Felony,Property,5JD,Parole,Yes,0
2011,2014,Black - Non-Hispanic,25-34,B Felony,Drug,Interstate Compact,Parole,No,0
2011,2014,White - Non-Hispanic,35-44,B Felony,Violent,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,Black - Non-Hispanic,35-44,C Felony,Violent,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,35-44,C Felony,Property,1JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,25-34,Felony - Enhancement to Original Penalty,Drug,1JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,25-34,Felony - Enhancement to Original Penalty,Drug,1JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,25-34,Felony - Enhancement to Original Penalty,Drug,1JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,55 and Older,D Felony,Violent,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,55 and Older,D Felony,Violent,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Hispanic,25-34,D Felony,Drug,Interstate Compact,Parole,Yes,0
2011,2014,White - Non-Hispanic,25-34,D Felony,Violent,7JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,25-34,D Felony,Violent,7JD,Parole,Yes,0
2011,2014,Black - Non-Hispanic,25-34,D Felony,Drug,3JD,Parole,Yes,0
2011,2014,Black - Non-Hispanic,Under 25,D Felony,Drug,3JD,Parole,Yes,0
2011,2014,Black - Non-Hispanic,35-44,D Felony,Property,1JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,25-34,B Felony,Violent,Interstate Compact,Parole,No,0
2011,2014,White - Non-Hispanic,55 and Older,C Felony,Property,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,25-34,C Felony,Drug,Not Mentioned,Parole,No,0
2011,2014,Black - Non-Hispanic,45-54,D Felony,Property,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,Black - Non-Hispanic,45-54,D Felony,Property,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,35-44,C Felony,Drug,8JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,35-44,C Felony,Drug,8JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,35-44,C Felony,Drug,8JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,25-34,D Felony,Property,5JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,25-34,D Felony,Property,5JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,25-34,D Felony,Property,5JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,25-34,D Felony,Property,5JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,25-34,D Felony,Property,5JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,25-34,D Felony,Property,5JD,Parole,Yes,0
2011,2014,White - Hispanic,25-34,D Felony,Public Order,7JD,Parole,Yes,0
2011,2014,American Indian or Alaska Native - Hispanic,Under 25,C Felony,Violent,Interstate Compact,Parole,No,0
2011,2014,White - Non-Hispanic,Under 25,D Felony,Violent,4JD,Parole,Yes,0
2011,2014,Black - Non-Hispanic,35-44,B Felony,Violent,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,45-54,D Felony,Public Order,6JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,45-54,D Felony,Public Order,6JD,Parole,Yes,0
2011,2014,Black - Non-Hispanic,25-34,Felony - Enhancement to Original Penalty,Drug,Interstate Compact,Parole,No,0
2011,2014,Black - Non-Hispanic,25-34,Felony - Enhancement to Original Penalty,Drug,Interstate Compact,Parole,No,0
2011,2014,White - Non-Hispanic,Under 25,D Felony,Public Order,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,Black - Non-Hispanic,35-44,D Felony,Property,Interstate Compact,Parole,No,0
2011,2014,American Indian or Alaska Native - Non-Hispanic,25-34,Felony - Enhancement to Original Penalty,Drug,1JD,Parole,Yes,0
2011,2014,Black - Non-Hispanic,55 and Older,C Felony,Drug,5JD,Parole,Yes,0
2011,2014,White - Hispanic,25-34,D Felony,Property,Interstate Compact,Parole,No,0
2011,2014,White - Non-Hispanic,35-44,D Felony,Public Order,3JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,55 and Older,B Felony,Drug,7JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,25-34,C Felony,Drug,4JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,25-34,C Felony,Drug,4JD,Parole,Yes,0
2011,2014,Black - Non-Hispanic,25-34,Aggravated Misdemeanor,Public Order,Not Mentioned,Parole,No,0
2011,2014,White - Non-Hispanic,25-34,C Felony,Property,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,25-34,C Felony,Property,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,25-34,C Felony,Property,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,25-34,C Felony,Property,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,25-34,C Felony,Property,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,25-34,C Felony,Property,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,25-34,D Felony,Property,1JD,Parole,No,0
2011,2014,White - Non-Hispanic,25-34,C Felony,Property,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,35-44,C Felony,Drug,Interstate Compact,Parole,No,0
2011,2014,White - Non-Hispanic,35-44,C Felony,Drug,Interstate Compact,Parole,No,0
2011,2014,White - Non-Hispanic,35-44,D Felony,Drug,4JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,35-44,D Felony,Drug,4JD,Parole,Yes,0
2011,2014,American Indian or Alaska Native - Non-Hispanic,35-44,Aggravated Misdemeanor,Public Order,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Hispanic,45-54,D Felony,Property,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,Black - Non-Hispanic,45-54,D Felony,Drug,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Violent,8JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,35-44,Felony - Enhancement to Original Penalty,Drug,5JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,35-44,Felony - Enhancement to Original Penalty,Drug,5JD,Parole,Yes,0
2011,2014,White - Hispanic,Under 25,D Felony,Violent,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,55 and Older,C Felony,Drug,Interstate Compact,Parole,No,0
2011,2014,Black - Non-Hispanic,55 and Older,Aggravated Misdemeanor,Other,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,American Indian or Alaska Native - Non-Hispanic,25-34,D Felony,Violent,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,American Indian or Alaska Native - Non-Hispanic,25-34,D Felony,Violent,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,American Indian or Alaska Native - Non-Hispanic,25-34,D Felony,Violent,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,American Indian or Alaska Native - Non-Hispanic,25-34,D Felony,Violent,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,American Indian or Alaska Native - Non-Hispanic,25-34,D Felony,Violent,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,American Indian or Alaska Native - Non-Hispanic,25-34,D Felony,Violent,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,Asian or Pacific Islander - Non-Hispanic,35-44,C Felony,Violent,Interstate Compact,Parole,No,0
2011,2014,White - Non-Hispanic,25-34,C Felony,Property,1JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,Under 25,C Felony,Violent,Interstate Compact,Parole,No,0
2011,2014,Black - Non-Hispanic,25-34,D Felony,Drug,7JD,Parole,Yes,0
2011,2014,Black - Non-Hispanic,25-34,D Felony,Drug,7JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Public Order,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,45-54,D Felony,Property,7JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Property,5JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,35-44,D Felony,Public Order,2JD,Parole,Yes,0
2011,2014,American Indian or Alaska Native - Non-Hispanic,45-54,C Felony,Violent,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Public Order,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,Black - Non-Hispanic,35-44,D Felony,Drug,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,Black - Non-Hispanic,35-44,D Felony,Drug,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,25-34,C Felony,Property,Interstate Compact,Parole,No,0
2011,2014,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Property,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Property,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Property,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Property,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Property,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Property,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Property,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Property,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Property,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,25-34,C Felony,Violent,Interstate Compact,Parole,No,0
2011,2014,White - Non-Hispanic,25-34,C Felony,Violent,Interstate Compact,Parole,No,0
2011,2014,White - Non-Hispanic,25-34,D Felony,Drug,8JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,25-34,D Felony,Drug,8JD,Parole,Yes,0
2011,2014,Black - Non-Hispanic,25-34,C Felony,Drug,2JD,Parole,Yes,0
2011,2014,Black - Non-Hispanic,25-34,C Felony,Drug,2JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Drug,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Drug,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Hispanic,Under 25,C Felony,Violent,Interstate Compact,Parole,No,0
2011,2014,Black - Non-Hispanic,25-34,D Felony,Property,Interstate Compact,Parole,No,0
2011,2014,White - Non-Hispanic,Under 25,C Felony,Property,Not Mentioned,Parole,No,0
2011,2014,White - Non-Hispanic,45-54,C Felony,Violent,Interstate Compact,Parole,No,0
2011,2014,White - Non-Hispanic,35-44,D Felony,Property,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,35-44,D Felony,Property,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,35-44,D Felony,Property,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,35-44,D Felony,Property,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,35-44,D Felony,Property,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,35-44,D Felony,Property,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,35-44,D Felony,Property,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,35-44,D Felony,Property,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,35-44,D Felony,Property,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,35-44,D Felony,Property,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,Black - Non-Hispanic,25-34,C Felony,Violent,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,Black - Non-Hispanic,25-34,C Felony,Violent,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,Black - Non-Hispanic,25-34,C Felony,Violent,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,55 and Older,Aggravated Misdemeanor,Property,8JD,Parole,Yes,0
2011,2014,Black - Hispanic,25-34,C Felony,Property,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Hispanic,Under 25,B Felony,Drug,3JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Violent,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,Black - Non-Hispanic,35-44,Felony - Enhancement to Original Penalty,Drug,1JD,Parole,Yes,0
2011,2014,Black - Non-Hispanic,35-44,Felony - Enhancement to Original Penalty,Drug,1JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,35-44,Felony - Enhancement to Original Penalty,Other,8JD,Parole,Yes,0
2011,2014,White - Hispanic,45-54,D Felony,Violent,Interstate Compact,Parole,No,0
2011,2014,White - Non-Hispanic,25-34,C Felony,Drug,Interstate Compact,Parole,No,0
2011,2014,Black - Non-Hispanic,25-34,D Felony,Public Order,Interstate Compact,Parole,No,0
2011,2014,White - Non-Hispanic,45-54,C Felony,Drug,1JD,Parole,Yes,0
2011,2014,Asian or Pacific Islander - Non-Hispanic,Under 25,D Felony,Public Order,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,Under 25,C Felony,Property,2JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,Under 25,C Felony,Property,2JD,Parole,Yes,0
2011,2014,White - Hispanic,Under 25,B Felony,Drug,Interstate Compact,Parole,No,0
2011,2014,White - Hispanic,Under 25,B Felony,Drug,Interstate Compact,Parole,No,0
2011,2014,White - Non-Hispanic,45-54,D Felony,Public Order,3JD,Parole,Yes,0
2011,2014,Black - Non-Hispanic,25-34,C Felony,Drug,8JD,Parole,Yes,0
2011,2014,Black - Non-Hispanic,25-34,C Felony,Drug,8JD,Parole,Yes,0
2011,2014,Black - Non-Hispanic,25-34,C Felony,Drug,8JD,Parole,Yes,0
2011,2014,Black - Non-Hispanic,25-34,C Felony,Drug,8JD,Parole,Yes,0
2011,2014,Black - Non-Hispanic,25-34,C Felony,Drug,8JD,Parole,Yes,0
2011,2014,Black - Non-Hispanic,25-34,C Felony,Drug,8JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,25-34,Felony - Enhancement to Original Penalty,Drug,2JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,25-34,Felony - Enhancement to Original Penalty,Drug,2JD,Parole,Yes,0
2011,2014,Black - Non-Hispanic,35-44,D Felony,Property,6JD,Parole,Yes,0
2011,2014,White - Hispanic,25-34,C Felony,Drug,Interstate Compact,Parole,No,0
2011,2014,White - Hispanic,25-34,C Felony,Drug,Interstate Compact,Parole,No,0
2011,2014,White - Hispanic,25-34,C Felony,Drug,Interstate Compact,Parole,No,0
2011,2014,White - Hispanic,25-34,C Felony,Drug,Interstate Compact,Parole,No,0
2011,2014,White - Hispanic,25-34,C Felony,Drug,Interstate Compact,Parole,No,0
2011,2014,White - Hispanic,25-34,C Felony,Drug,Interstate Compact,Parole,No,0
2011,2014,White - Hispanic,35-44,Felony - Enhancement to Original Penalty,Drug,Interstate Compact,Parole,No,0
2011,2014,White - Hispanic,35-44,Felony - Enhancement to Original Penalty,Drug,Interstate Compact,Parole,No,0
2011,2014,White - Non-Hispanic,35-44,B Felony,Violent,7JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,25-34,B Felony,Drug,2JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,25-34,B Felony,Drug,2JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,25-34,B Felony,Drug,2JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,25-34,B Felony,Drug,2JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,35-44,D Felony,Property,3JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,35-44,D Felony,Property,3JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,35-44,D Felony,Property,3JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,55 and Older,C Felony,Drug,3JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,25-34,D Felony,Public Order,1JD,Parole,Yes,0
2011,2014,Asian or Pacific Islander - Non-Hispanic,25-34,Felony - Enhancement to Original Penalty,Drug,1JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,55 and Older,C Felony,Violent,6JD,Special Sentence,Yes,0
2011,2014,American Indian or Alaska Native - Non-Hispanic,25-34,D Felony,Drug,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,Black - Non-Hispanic,25-34,D Felony,Public Order,8JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,35-44,D Felony,Drug,Interstate Compact,Parole,No,0
2011,2014,Black - Non-Hispanic,Under 25,Aggravated Misdemeanor,Public Order,5JD,Parole,Yes,0
2011,2014,Black - Non-Hispanic,25-34,B Felony,Violent,5JD,Parole,Yes,0
2011,2014,Black - Non-Hispanic,25-34,D Felony,Drug,1JD,Parole,Yes,0
2011,2014,Black - Non-Hispanic,25-34,D Felony,Drug,1JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,45-54,D Felony,Public Order,5JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,45-54,D Felony,Public Order,5JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,45-54,D Felony,Public Order,5JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,Under 25,D Felony,Drug,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,25-34,D Felony,Property,1JD,Parole,Yes,0
2011,2014,Black - Non-Hispanic,55 and Older,D Felony,Drug,7JD,Parole,Yes,0
2011,2014,Black - Non-Hispanic,25-34,Felony - Enhancement to Original Penalty,Other,1JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Violent,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Violent,1JD,Special Sentence,Yes,0
2011,2014,Black - Non-Hispanic,45-54,Aggravated Misdemeanor,Public Order,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Hispanic,Under 25,D Felony,Drug,5JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Public Order,Not Mentioned,Parole,No,0
2011,2014,White -,45-54,D Felony,Property,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,25-34,C Felony,Property,6JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,25-34,C Felony,Property,6JD,Parole,Yes,0
2011,2014,White - Hispanic,Under 25,D Felony,Property,Interstate Compact,Parole,No,0
2011,2014,Black - Non-Hispanic,25-34,C Felony,Property,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,Black - Non-Hispanic,25-34,C Felony,Property,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,Black - Non-Hispanic,25-34,C Felony,Property,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,Black - Non-Hispanic,25-34,C Felony,Property,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,Black - Non-Hispanic,25-34,C Felony,Property,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,Black - Non-Hispanic,25-34,C Felony,Property,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,Black - Non-Hispanic,25-34,C Felony,Property,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,25-34,D Felony,Violent,8JD,Special Sentence,Yes,0
2011,2014,White - Non-Hispanic,25-34,C Felony,Violent,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,25-34,C Felony,Violent,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,25-34,C Felony,Violent,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,Black - Non-Hispanic,45-54,D Felony,Property,Interstate Compact,Parole,No,0
2011,2014,White - Non-Hispanic,25-34,D Felony,Violent,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,25-34,D Felony,Violent,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,25-34,D Felony,Violent,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,Black - Non-Hispanic,Under 25,Aggravated Misdemeanor,Violent,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,Black - Non-Hispanic,Under 25,Aggravated Misdemeanor,Violent,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,Black - Non-Hispanic,Under 25,Aggravated Misdemeanor,Violent,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,Black - Non-Hispanic,Under 25,Aggravated Misdemeanor,Violent,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,Black - Non-Hispanic,Under 25,Aggravated Misdemeanor,Violent,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,Black - Non-Hispanic,Under 25,Aggravated Misdemeanor,Violent,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,Black - Non-Hispanic,Under 25,Aggravated Misdemeanor,Violent,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,Black - Non-Hispanic,Under 25,Aggravated Misdemeanor,Violent,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Property,5JD,Parole,Yes,0
2011,2014,Black - Non-Hispanic,25-34,C Felony,Public Order,6JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,Under 25,C Felony,Property,2JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,35-44,D Felony,Property,Not Mentioned,Parole,No,0
2011,2014,White - Hispanic,25-34,C Felony,Drug,5JD,Parole,Yes,0
2011,2014,White - Hispanic,25-34,C Felony,Drug,5JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,35-44,C Felony,Property,1JD,Parole,Yes,0
2011,2014,Black - Non-Hispanic,55 and Older,C Felony,Drug,1JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Public Order,1JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,25-34,C Felony,Violent,1JD,Parole,Yes,0
2011,2014,Black - Non-Hispanic,Under 25,Aggravated Misdemeanor,Violent,6JD,Special Sentence,Yes,0
2011,2014,White - Non-Hispanic,Under 25,D Felony,Public Order,7JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,Under 25,D Felony,Public Order,7JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,25-34,B Felony,Drug,8JD,Parole,Yes,0
2011,2014,Black - Non-Hispanic,45-54,Aggravated Misdemeanor,Violent,5JD,Special Sentence,Yes,0
2011,2014,White - Non-Hispanic,35-44,D Felony,Violent,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,35-44,D Felony,Violent,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,35-44,D Felony,Violent,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,35-44,D Felony,Violent,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,35-44,D Felony,Violent,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,35-44,D Felony,Violent,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,35-44,D Felony,Violent,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,35-44,D Felony,Violent,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,35-44,D Felony,Violent,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,35-44,D Felony,Violent,Not Mentioned,Discharged End of Sentence,No,0
2011,2014,White - Non-Hispanic,45-54,B Felony,Violent,6JD,Parole,Yes,0
2011,2014,White - Non-Hispanic,35-44,Felony - Enhancement to Original Penalty,Drug,1JD,Parole,Yes,0
